#,Track Name,Music Pack Track,Track Link,Alternate Track #1,Alternate Track #2
1,Overworld Day,Henesys: Rest N Peace,https://youtu.be/SQRqz1D3Xm8,,
2,Eerie,Ludibrium: Dark Shadow,https://youtu.be/wWB1hTbtoNQ,,
3,Overworld Night,Sleepywood,https://youtu.be/tWCWIhA3XQw,,
4,Underground,El Nath: Abandoned Mine,https://youtu.be/WmHOENuKkmk,,
5,"Boss 1 (Eye, Eater, KSlime, Skeletrons)",Ludibrium: Time Attack,https://youtu.be/AiaV9gA3i10,,
6,Title (Classic),Title,https://youtu.be/BVSPMg-GWDc,,
7,Jungle Day,Kerning City: Jungle Book,https://youtu.be/YYTuDFsvZNU,,
8,Corruption,Kerning City: Bad Guys,https://youtu.be/uv8QObpL2EY,,
9,Hallow,Elluel: Wind and Flower,https://youtu.be/5gxVQPSbkJw,Luibrium: Fairytale,
10,Underground Corruption,Kerning City: Subway,https://youtu.be/J1YTQvtmsjg,,
11,Underground Hallow,Ludibrium: Timeless B,https://youtu.be/PmuoAR2ce3o,Ludibrium: Timeless,
12,"Boss 2 (Wall, Twins)",New Leaf City: Upbeat,https://youtu.be/d0kE_pLlE2U,,
13,"Boss 3 (Brain, Legion, Destroyer)",Zakum: Final Fight,https://youtu.be/rEtDrkAYs68,,
14,Snow,El Nath: Warm Regard,https://youtu.be/MBmPOY2PA2Q,,
15,Space Night,Esfera: Diffraction,https://youtu.be/MkXfT5oIfaU,,
16,Crimson,Crimsonwood: Courtyard,https://youtu.be/h0_8MftVy90,,
17,"Boss 4 (Golem, Lunatic)",Eregos,https://youtu.be/rNnYpo9-cRw,,
18,Alt Overworld Day,Mushroom Shrine: Feeling,https://youtu.be/SdcsTuVLJk0,,
19,Rainy Day,Orbis: Shinin' Harbor,https://youtu.be/DThWMbPZXy8,,
20,Underground Snow,Temple of Time: Dusk of God,https://youtu.be/c851KzZNXkg,,
21,Desert,Ariant: Sunset Desert,https://youtu.be/L9CYYgoZVAo,,
22,Ocean Day,Lith Harbor: Above the Treetops,https://youtu.be/F6LIFBVhObQ,,
23,Dungeon,Sleepywood: Ancient Move,https://youtu.be/w9HagZ099c0,,
24,Plantera,Crimsonwood: Grandmaster's Gauntlet,https://youtu.be/rsASgHchliQ,Crimsonwood Keep Party Quest,
25,Boss 5 (Queen Bee),Black Wing,https://youtu.be/D567gGNSf8I,,
26,Temple,Perion: Water Way,https://youtu.be/Su6P7juLavE,,
27,Eclipse,Tower of Oz: Strange Sort of Story,https://youtu.be/AZU1lB4WrlU,,
28,Rain sound effect,* Custom Rain SFX *,https://youtu.be/mfNY-OMvwlw,,
29,Mushrooms,Omega Sector: Finding Forest,https://youtu.be/dT0laG5urcc,,
30,Pumpkin Moon,Haunted House,https://youtu.be/nbGQyrGizRQ,,
31,Alt Underground,El Nath: Mine Quest,https://youtu.be/8LaAGZ5kxvk,,
32,Frost Moon,Crimsonwood: Bigfoot,https://youtu.be/X0pUdlLwIhA,,
33,Underground Crimson, Tower of Oz: Hazard from the Cave,https://youtu.be/STDN57rytW8,,
34,Lunar Event,New Leaf City: Hunt,https://youtu.be/UB_Dn0LCYLE,,
35,Pirate Invasion,Orbis: Arab Pirate,https://youtu.be/PZLLGX6VNgU,,
36,Hell,El Nath: Hell Gate,https://youtu.be/923LpjaA9Ps,,
37,Martian Madness,Omega Sector: Let's Hunt Aliens,https://youtu.be/pZ6Fuv6BLx4,,
38,Moon Lord,Horntail,https://youtu.be/WnLrTMmnyBc,,
39,Goblin Invasion,Showa: Battlefield,https://youtu.be/ZDS4Dd7ULvM,,
40,Sandstorm,Perion: Highland Star,https://youtu.be/DIuiKBGxPLA,,
41,Old Ones Army,Orbis: Plot of Pixie,https://youtu.be/znPiUenHhP4,,
42,Space Day,Ludibrium: High Enough,https://youtu.be/iqWeh-dkwu4,,
43,Ocean Night,Dolphin Island - Night,https://youtu.be/eQ41JswJdng,,
44,Windy Day,Orbis: Tower of a Goddess,https://youtu.be/UEByqQPt2is,,
45,Wind sound effect,* Terraria Wind SFX *,https://youtu.be/rWVXFoAW3oY,,
46,Town Day,Henesys: Cava Bien,https://youtu.be/ddd2MInZXUU,,
47,Town Night,Korean Folk Town: Dark Mountain,https://youtu.be/YUeCX11El2s,,
48,Slime Rain,Henesys: Go Picnic,https://youtu.be/WUuawkZR0s0,,
49,Overworld Day Remix,Mushroom Castle: Blue Sky,https://youtu.be/ClLLtA3naSo,,
50,Title Intro Journeys End,Title,https://youtu.be/BVSPMg-GWDc,,
51,Title Journeys End,Title,https://youtu.be/BVSPMg-GWDc,,
52,Storm,Ellin Forest: Poison Forest,https://youtu.be/tc61Xjl4_X8,,
53,Graveyard,Mushroom Shrine: Bizarre Forest,https://youtu.be/9kmYUElcL_w,,
54,Underground Jungle,Ellin Forest: Ellin Cave,https://youtu.be/P_VsVWs4x0w,Kerning City: Under the Subway,
55,Jungle Night,Time Gate,https://youtu.be/rJKUHOoWNiA,,
56,Queen Slime,Tower of Oz: Amusing Story in the Fairytale,https://youtu.be/ZnS7JgfB8DI,,
57,Empress of Light,Dream Fragments (Lucid Phase 2),https://youtu.be/PfCojbDYtBo,,
58,Duke Fishron,Leafre: Dragon Rider,https://youtu.be/s6zoD2gnYrA,,
59,Morning Rain,Ellinia: Moonlight Shadow,https://youtu.be/XYtHWyrVm30,Singapore: CBD Field,Temple of Time: Rememberance
60,Title Console,Title,https://youtu.be/BVSPMg-GWDc,,
61,Underground Desert,Perion: Castle Ruins,https://youtu.be/xeks7rE2m0o,,
62,Otherworld Rain,Ellinia: Missing You,https://youtu.be/2NoF8PHQJqQ,Ellin Forest,
63,Otherworld Overworld Day,Henesys: Floral Life,https://youtu.be/s2_MAplvHeQ,Orbis: Upon the Sky,
64,Otherworld Overworld Night,Herb Town: White Herb,https://youtu.be/59oze7IkQ10,,
65,Otherworld Underground,Kerning Square Subway,https://youtu.be/iRxal9QpFb8,El Nath: Wolf Wood,
66,Otherworld Desert,Ariant,https://youtu.be/w1RgDSoOajw,Ariant: Hot Desert,
67,Otherworld Ocean,Commerci Beach,https://youtu.be/rb-9IQLFi4U,Ellinia: When the Morning Comes,Dolphin Island - Noon
68,Otherworld Mushrooms,Night Market,https://youtu.be/-sf4tEqd7co,,
69,Otherworld Dungeon,Magatia: Dispute,https://youtu.be/5FDFLwPw0bU,,Perion: Ancient Remains
70,Otherworld Space,Orbis: Come with Me,https://youtu.be/sNCwJu5Buz0,Ludibrium: Flying in Blue Dream,
71,Otherworld Hell,Perion: Nightmare,https://youtu.be/9lwOsX763N0,,Temple of Time: Repentance
72,Otherworld Snow, El Nath: Snowy Village,https://youtu.be/X6X7U5V9Obk,Happyville: White Christmas (Alternate),
73,Otherworld Corruption,Singapore: Ghost Ship,https://youtu.be/cOatjxHHAEw,,
74,Otherworld Underground Corruption,Leafre: Cave of Horntail,https://youtu.be/Lo59n_tMGSM,Temple of Time: Forgetfulness,
75,Otherworld Crimson,Crimsonwood Keep,https://youtu.be/CZoYt7HHSik,,
76,Otherworld Underground Crimson,Crimsonwood: Phantom Forest,https://youtu.be/JDK9B4IWxdg,,
77,Otherworld Underground Snow,Ereve: Queen's Garden,https://youtu.be/3r9s43TG9yA,Rien: Crystal Cave,Flower in Blue
78,Otherworld Underground Hallow,Tempel of Time: Remebrance,https://youtu.be/TpKE4mKFSZY,,
79,Otherworld Eerie,New Leaf City: Town,https://youtu.be/EXv5madDarI,,
80,Otherworld Boss 2,Temple of Time: Fighting Pink Bean,https://youtu.be/Mt8ZlyYA4GI,,
81,Otherworld Boss 1,Altar of Arkarium,https://youtu.be/eKf_ZjD9gb4,,
82,Otherworld Invasion,Leafre: Dragon Load,https://youtu.be/z3jhg8KffPI,,
83,Otherworld Lunar Event,Aqua Cave,https://youtu.be/ctsqJ-Xl9_0,,
84,Otherworld Moon Lord,Red Witch,https://youtu.be/xDV6ShE-YUU,,
85,Otherworld Plantera,Demian True,https://youtu.be/do6QC9kkmv4,Crimsonwood Keep Interior,
86,Otherworld Jungle,Mu Lung Hill,https://youtu.be/2VMCpGe9MGc,,
87,Otherworld Wall of Flesh,Lion Heart,https://youtu.be/_Iw_yvDJzZA,,
88,Otherworld Hallow,Temple of Time,https://youtu.be/6uCaEDM-Kf8,Ludibrium: Fantasia,Ereve: Queen's Garden
89,Journey's End (Credits),This Too Shall Pass Away,https://youtu.be/_2LRgRV1J_8,,
